Epoch 336, Validation Loss: 0.046
Epoch 337, Validation Loss: 0.053
Epoch 338, Validation Loss: 0.048
Epoch 339, Validation Loss: 0.045
Epoch 340, Validation Loss: 0.054
Epoch 341, Validation Loss: 0.049
Epoch 342, Validation Loss: 0.053
Epoch 343, Validation Loss: 0.047
Epoch 344, Validation Loss: 0.048
Epoch 345, Validation Loss: 0.046
Epoch 346, Validation Loss: 0.046
Epoch 347, Validation Loss: 0.045
Epoch 348, Validation Loss: 0.048
Epoch 349, Validation Loss: 0.043
Epoch 350, Validation Loss: 0.052
Epoch 351, Validation Loss: 0.042
Epoch 352, Validation Loss: 0.050
Epoch 353, Validation Loss: 0.046
Epoch 354, Validation Loss: 0.044
Epoch 355, Validation Loss: 0.045
Epoch 356, Validation Loss: 0.049
Epoch 357, Validation Loss: 0.056
Epoch 358, Validation Loss: 0.051
Epoch 359, Validation Loss: 0.059
Epoch 360, Validation Loss: 0.048
Epoch 361, Validation Loss: 0.048
Epoch 362, Validation Loss: 0.044
Epoch 363, Validation Loss: 0.050
Epoch 364, Validation Loss: 0.044
Epoch 365, Validation Loss: 0.055
Epoch 366, Validation Loss: 0.051
Epoch 367, Validation Loss: 0.049
Epoch 368, Validation Loss: 0.050
Epoch 369, Validation Loss: 0.043
Epoch 370, Validation Loss: 0.046
Epoch 371, Validation Loss: 0.053
Epoch 372, Validation Loss: 0.050
Epoch 373, Validation Loss: 0.054
Epoch 374, Validation Loss: 0.053
Epoch 375, Validation Loss: 0.049
Epoch 376, Validation Loss: 0.048
Epoch 377, Validation Loss: 0.048
Epoch 378, Validation Loss: 0.063
Epoch 379, Validation Loss: 0.046
Epoch 380, Validation Loss: 0.059
Epoch 381, Validation Loss: 0.059
Epoch 382, Validation Loss: 0.053
Epoch 383, Validation Loss: 0.050
Epoch 384, Validation Loss: 0.057
Epoch 385, Validation Loss: 0.052
Epoch 386, Validation Loss: 0.057
Epoch 387, Validation Loss: 0.051
Epoch 388, Validation Loss: 0.049
Epoch 389, Validation Loss: 0.048
Epoch 390, Validation Loss: 0.045
Epoch 391, Validation Loss: 0.050
Epoch 392, Validation Loss: 0.058
Epoch 393, Validation Loss: 0.050
Epoch 394, Validation Loss: 0.053
Epoch 395, Validation Loss: 0.051
Epoch 396, Validation Loss: 0.057
Epoch 397, Validation Loss: 0.048
Epoch 398, Validation Loss: 0.060
Epoch 399, Validation Loss: 0.045
Epoch 400, Validation Loss: 0.047
Epoch 401, Validation Loss: 0.044
Epoch 402, Validation Loss: 0.050
Epoch 403, Validation Loss: 0.051
Epoch 404, Validation Loss: 0.049
Epoch 405, Validation Loss: 0.057
Epoch 406, Validation Loss: 0.058
Epoch 407, Validation Loss: 0.052
Epoch 408, Validation Loss: 0.051
Epoch 409, Validation Loss: 0.051
Epoch 410, Validation Loss: 0.050
Epoch 411, Validation Loss: 0.048
Epoch 412, Validation Loss: 0.061
Epoch 413, Validation Loss: 0.044
Epoch 414, Validation Loss: 0.046
Epoch 415, Validation Loss: 0.046
Epoch 416, Validation Loss: 0.042
Epoch 417, Validation Loss: 0.048
Epoch 418, Validation Loss: 0.048
Epoch 419, Validation Loss: 0.045
Epoch 420, Validation Loss: 0.054
Epoch 421, Validation Loss: 0.048
Epoch 422, Validation Loss: 0.055
Epoch 423, Validation Loss: 0.047
Epoch 424, Validation Loss: 0.050
